"item","qty","gross_sales","product_sales","discounts","tax","type","name","purchase_date"
"Piggy - Queen",1,34.54,36.86,-6,3.14,"Piggy","Queen",2024-07-17
"Mel - Bowtied",1,38.25,41.52,-6.75,3.48,"Mel","Bowtied",2024-07-17
"Cina - Queen",1,38.25,41.53,-6.75,3.47,"Cina","Queen",2024-07-17
"Dragon - Cute",1,34,36.91,-6,3.09,"Dragon","Cute",2024-07-17
"Puppy",1,34,36.91,-6,3.09,"Puppy","Puppy",2024-07-17
"Fox - Nine Tailed",1,47.5,50.68,-8.25,4.32,"Fox","Nine Tailed",2024-07-17
"Puppy",1,34.54,36.86,-6,3.14,"Puppy","Puppy",2024-07-17
"Piggy - Queen",1,34.54,36.86,-6,3.14,"Piggy","Queen",2024-07-17
"Dino - Disco",1,45.72,40.84,0,4.16,"Dino","Disco",2024-07-16
"Rabbit - Strawberry Bag",1,35.56,31.77,0,3.23,"Rabbit","Strawberry Bag",2024-07-16
"Fox - Nine Tailed",1,55.88,49.92,0,5.08,"Fox","Nine Tailed",2024-07-16
"Naruto",1,45.72,40.84,0,4.16,"Naruto","Naruto",2024-07-16
"Bear Brick - Heart Rainbow",2,91.44,81.69,0,8.31,"Bear Brick","Heart Rainbow",2024-07-16
"Kir",1,40.64,36.31,0,3.69,"Kir","Kir",2024-07-16
"Mel - Bowtied",1,45.72,40.84,0,4.16,"Mel","Bowtied",2024-07-16
"Dino - Baby",1,40.64,36.31,0,3.69,"Dino","Baby",2024-07-16
"Capybara",1,50,45.45,0,4.55,"Capybara","Capybara",2024-07-16
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-16
"Mel",1,40.64,36.31,0,3.69,"Mel","Mel",2024-07-16
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-16
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-16
"Rabbit - Happy Sleepy",1,40.64,36.31,0,3.69,"Rabbit","Happy Sleepy",2024-07-16
"Cina - Queen",1,45.72,40.84,0,4.16,"Cina","Queen",2024-07-16
"Puppy",1,40.64,36.3,0,3.7,"Puppy","Puppy",2024-07-16
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-16
"Peach Baby",1,35.56,31.76,0,3.24,"Peach Baby","Peach Baby",2024-07-16
"Astronaut",1,35.56,31.77,0,3.23,"Astronaut","Astronaut",2024-07-16
"Fox - Nine Tailed",1,55,50,0,5,"Fox","Nine Tailed",2024-07-16
"Fox - Nine Tailed",1,45.72,40.84,0,4.16,"Fox","Nine Tailed",2024-07-16
"Bear Brick - Heart",1,45.72,40.85,0,4.15,"Bear Brick","Heart",2024-07-16
"Bear Brick - Heart",1,45.72,40.84,0,4.16,"Bear Brick","Heart",2024-07-16
"Capybara",1,50,45.45,0,4.55,"Capybara","Capybara",2024-07-16
"Luffy",1,34.54,36.86,-6,3.14,"Luffy","Luffy",2024-07-16
"Dino - Baby",1,34.54,36.86,-6,3.14,"Dino","Baby",2024-07-16
"Astronaut",1,30.23,32.25,-5.25,2.75,"Astronaut","Astronaut",2024-07-16
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-16
"Kir",1,34.54,36.86,-6,3.14,"Kir","Kir",2024-07-16
"Astro Bear",1,43.18,46.07,-7.5,3.93,"Astro Bear","Astro Bear",2024-07-16
"Kaws",1,43.18,46.07,-7.5,3.93,"Kaws","Kaws",2024-07-16
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-16
"Luffy",1,34.55,36.86,-6,3.14,"Luffy","Luffy",2024-07-16
"Bear Brick - Rainbow",1,38.86,41.47,-6.75,3.53,"Bear Brick","Rainbow",2024-07-16
"Ducky - With Little Bag",1,34,36.91,-6,3.09,"Ducky","With Little Bag",2024-07-16
"Bear Brick - Heart Rainbow",1,38.86,41.47,-6.75,3.53,"Bear Brick","Heart Rainbow",2024-07-16
"Dino - Small",1,34.55,36.86,-6,3.14,"Dino","Small",2024-07-16
"Piggy - Birthday",1,40.64,36.3,0,3.7,"Piggy","Birthday",2024-07-15
"Piggy - Bottle",1,40.64,36.31,0,3.69,"Piggy","Bottle",2024-07-15
"Pochacco",1,45.72,40.84,0,4.16,"Pochacco","Pochacco",2024-07-15
"Ducky - With Little Bag",1,40.64,36.31,0,3.69,"Ducky","With Little Bag",2024-07-15
"Chicken Mama - 1",1,40.64,36.31,0,3.69,"Chicken Mama","1",2024-07-15
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-15
"Dor - Captain US",1,45.72,40.85,0,4.15,"Dor","Captain US",2024-07-15
"Bear Brick - Rainbow",1,31.5,42.13,-13.5,2.87,"Bear Brick","Rainbow",2024-07-15
"Bowtie Cat - Sailor",1,55,50,0,5,"Bowtie Cat","Sailor",2024-07-15
"Pochacco",1,45.72,40.84,0,4.16,"Pochacco","Pochacco",2024-07-15
"Bear Brick - Heart Rainbow",1,45.72,40.84,0,4.16,"Bear Brick","Heart Rainbow",2024-07-15
"Bear Brick - Heart Rainbow",1,45.72,40.84,0,4.16,"Bear Brick","Heart Rainbow",2024-07-15
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-15
"Cat on Duck",1,38.86,41.47,-6.75,3.53,"Cat on Duck","Cat on Duck",2024-07-15
"Mel",1,34.54,36.86,-6,3.14,"Mel","Mel",2024-07-15
"Cina - Magician Hat",1,43.18,46.07,-7.5,3.93,"Cina","Magician Hat",2024-07-15
"Larva",1,30.22,32.25,-5.25,2.75,"Larva","Larva",2024-07-15
"Dragon - Baby",1,34.54,36.86,-6,3.14,"Dragon","Baby",2024-07-15
"Rabbit - Glasses",1,34.55,36.86,-6,3.14,"Rabbit","Glasses",2024-07-15
"Pokemon - Pi on Saturn",1,38.86,41.46,-6.75,3.54,"Pokemon","Pi on Saturn",2024-07-15
"Mel - Bowtied",1,38.86,41.47,-6.75,3.53,"Mel","Bowtied",2024-07-15
"Pochacco",1,38.86,41.47,-6.75,3.53,"Pochacco","Pochacco",2024-07-15
"Dino - Baby",1,34.54,36.86,-6,3.14,"Dino","Baby",2024-07-15
"Bowtie Cat",1,34.54,36.86,-6,3.14,"Bowtie Cat","Bowtie Cat",2024-07-15
"Kir",1,34.55,36.86,-6,3.14,"Kir","Kir",2024-07-15
"Cina - Magician Hat",1,43.18,46.07,-7.5,3.93,"Cina","Magician Hat",2024-07-15
"Bear Brick - OG",1,38.86,41.47,-6.75,3.53,"Bear Brick","OG",2024-07-15
"Mel",1,34.54,36.86,-6,3.14,"Mel","Mel",2024-07-15
"Pokemon - Blas Turtle",1,43.18,46.07,-7.5,3.93,"Pokemon","Blas Turtle",2024-07-15
"Bear - Prism",1,43.18,46.07,-7.5,3.93,"Bear","Prism",2024-07-15
"Bear Brick - Rainbow",1,38.86,41.47,-6.75,3.53,"Bear Brick","Rainbow",2024-07-15
"Grandma",1,25.6,37.67,-14.8,2.33,"Grandma","Grandma",2024-07-13
"Naruto",1,28.81,42.38,-16.65,2.62,"Naruto","Naruto",2024-07-13
"Pokemon - Blas Turtle",1,35.56,46.77,-15,3.23,"Pokemon","Blas Turtle",2024-07-13
"Pokemon - Blas Turtle",1,35.56,46.77,-15,3.23,"Pokemon","Blas Turtle",2024-07-13
"Dor - Bat",1,35,46.82,-15,3.18,"Dor","Bat",2024-07-13
"Dor - Captain US",1,35.56,46.77,-15,3.23,"Dor","Captain US",2024-07-13
"Dor - Captain US",2,71.12,93.53,-30,6.47,"Dor","Captain US",2024-07-13
"Pokemon - Blas Turtle",1,35.56,46.77,-15,3.23,"Pokemon","Blas Turtle",2024-07-13
"Naruto",1,32,42.09,-13.5,2.91,"Naruto","Naruto",2024-07-13
"Grandpa",1,28.45,37.42,-12,2.58,"Grandpa","Grandpa",2024-07-13
"Grandma",1,28.45,37.41,-12,2.59,"Grandma","Grandma",2024-07-13
"Pokemon - Ice Cream",1,28.45,37.41,-12,2.59,"Pokemon","Ice Cream",2024-07-13
"Pokemon - Blas Turtle",1,35.56,46.77,-15,3.23,"Pokemon","Blas Turtle",2024-07-13
"Naruto",1,32,42.09,-13.5,2.91,"Naruto","Naruto",2024-07-13
"Pokemon - Pi on Saturn",1,32.01,42.09,-13.5,2.91,"Pokemon","Pi on Saturn",2024-07-13
"Larva",1,24.89,32.74,-10.5,2.26,"Larva","Larva",2024-07-13
"Pokemon - Blas Turtle",1,35.56,46.77,-15,3.23,"Pokemon","Blas Turtle",2024-07-13
"Grandpa",1,28.45,37.41,-12,2.59,"Grandpa","Grandpa",2024-07-13
"Grandma",1,28.45,37.41,-12,2.59,"Grandma","Grandma",2024-07-13
"Rabbit - Happy Sleepy",1,28.45,37.41,-12,2.59,"Rabbit","Happy Sleepy",2024-07-13
"Dor - Captain US",1,40.64,46.31,-10,3.69,"Dor","Captain US",2024-07-13
"SP - Rabbit Trainer",1,40.64,46.31,-10,3.69,"SP","Rabbit Trainer",2024-07-13
"Dor - Bat",1,40.64,46.31,-10,3.69,"Dor","Bat",2024-07-13
"Dor - Captain US",1,40.64,46.31,-10,3.69,"Dor","Captain US",2024-07-13
"Pokemon - Blas Turtle",1,40.64,46.31,-10,3.69,"Pokemon","Blas Turtle",2024-07-13
"Dor - Bat",1,40.64,46.31,-10,3.69,"Dor","Bat",2024-07-13
"Pokemon - Blas Turtle",1,40.64,46.31,-10,3.69,"Pokemon","Blas Turtle",2024-07-13
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-13
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-13
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-13
"Pokemon - Blas Turtle",1,50.8,45.38,0,4.62,"Pokemon","Blas Turtle",2024-07-13
"SP - Rabbit Trainer",1,25.4,47.69,-25,2.31,"SP","Rabbit Trainer",2024-07-13
"Dor - Bat",1,25.4,47.69,-25,2.31,"Dor","Bat",2024-07-13
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-13
"Pokemon - Blas Turtle",1,50.8,45.38,0,4.62,"Pokemon","Blas Turtle",2024-07-13
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-13
"Naruto",1,45,40.91,0,4.09,"Naruto","Naruto",2024-07-13
"SP - Rabbit Trainer",1,50,45.45,0,4.55,"SP","Rabbit Trainer",2024-07-13
"Pokemon - Pi on Saturn",1,45,40.91,0,4.09,"Pokemon","Pi on Saturn",2024-07-13
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Pokemon - Pi on Saturn",1,45,40.91,0,4.09,"Pokemon","Pi on Saturn",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Grandma",1,40.64,36.3,0,3.7,"Grandma","Grandma",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Grandpa",1,40.64,36.31,0,3.69,"Grandpa","Grandpa",2024-07-13
"Pokemon - Blas Turtle",1,50.8,45.38,0,4.62,"Pokemon","Blas Turtle",2024-07-13
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-13
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-13
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-13
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Pokemon - Blas Turtle",1,50.8,45.38,0,4.62,"Pokemon","Blas Turtle",2024-07-13
"Couple - Avo Duck",1,55.88,49.92,0,5.08,"Couple","Avo Duck",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Couple - Tomato",1,55.88,49.92,0,5.08,"Couple","Tomato",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Pokemon - Blas Turtle",1,50.8,45.38,0,4.62,"Pokemon","Blas Turtle",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Apple Baby",1,35.56,31.77,0,3.23,"Apple Baby","Apple Baby",2024-07-13
"Rabbit - Fish",1,40.64,36.31,0,3.69,"Rabbit","Fish",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Bear Brick - OG",1,45.72,40.84,0,4.16,"Bear Brick","OG",2024-07-13
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Dragon - Cute",1,40,36.36,0,3.64,"Dragon","Cute",2024-07-13
"Ducky - Star",1,45,40.91,0,4.09,"Ducky","Star",2024-07-13
"Couple - Banana",1,55.88,49.92,0,5.08,"Couple","Banana",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Rabbit - Fish",1,40.64,36.3,0,3.7,"Rabbit","Fish",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Rabbit - Fish",1,40.64,36.31,0,3.69,"Rabbit","Fish",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Grandma",1,40.64,36.31,0,3.69,"Grandma","Grandma",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"SP - Raining Day",1,60.96,54.46,0,5.54,"SP","Raining Day",2024-07-13
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Kuro - Bowtied",1,45.72,40.84,0,4.16,"Kuro","Bowtied",2024-07-13
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-13
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-13
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-13
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Dragon - Cute",1,40.64,36.3,0,3.7,"Dragon","Cute",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"Capybara",1,50.8,45.38,0,4.62,"Capybara","Capybara",2024-07-12
"Rain Baby",1,60.96,54.46,0,5.54,"Rain Baby","Rain Baby",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Grandma",1,40.64,36.31,0,3.69,"Grandma","Grandma",2024-07-12
"Rain Baby",1,60.96,54.46,0,5.54,"Rain Baby","Rain Baby",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Naruto",1,45.72,40.85,0,4.15,"Naruto","Naruto",2024-07-12
"Dor - Bat",1,50.8,45.38,0,4.62,"Dor","Bat",2024-07-12
"Couple - Banana",1,55.88,49.92,0,5.08,"Couple","Banana",2024-07-12
"Rain Baby",1,60.96,54.46,0,5.54,"Rain Baby","Rain Baby",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Capybara",1,50.8,45.38,0,4.62,"Capybara","Capybara",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Astro Bear",2,101.6,90.77,0,9.23,"Astro Bear","Astro Bear",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Dor - Captain US",1,50.8,45.38,0,4.62,"Dor","Captain US",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.39,0,4.61,"SP","Rabbit Trainer",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Ducky - With Little Bag",1,40.64,36.3,0,3.7,"Ducky","With Little Bag",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Piggy - Birthday",1,40.64,36.31,0,3.69,"Piggy","Birthday",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.85,0,4.15,"Pokemon","Pi on Saturn",2024-07-12
"SP - Rabbit Trainer",1,50,45.45,0,4.55,"SP","Rabbit Trainer",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"SP - Rabbit Trainer",1,50.8,45.38,0,4.62,"SP","Rabbit Trainer",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"Piggy - Birthday",1,40.64,36.3,0,3.7,"Piggy","Birthday",2024-07-12
"Ducky - With Little Bag",1,40.64,36.31,0,3.69,"Ducky","With Little Bag",2024-07-12
"Ducky - With Little Bag",1,40,36.36,0,3.64,"Ducky","With Little Bag",2024-07-12
"Capybara",1,50,45.46,0,4.54,"Capybara","Capybara",2024-07-12
"Piggy - Happy",1,40.64,36.31,0,3.69,"Piggy","Happy",2024-07-12
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-12
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Dragon - Cute",2,81.28,72.61,0,7.39,"Dragon","Cute",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"Couple - Avo Duck",1,55.88,49.92,0,5.08,"Couple","Avo Duck",2024-07-12
"Dragon - Cute",1,34.54,36.86,-6,3.14,"Dragon","Cute",2024-07-12
"Ducky - Star",1,38.86,41.47,-6.75,3.53,"Ducky","Star",2024-07-12
"Teddy with Tote",1,34.55,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-12
"Dor - Captain US",1,43.18,46.07,-7.5,3.93,"Dor","Captain US",2024-07-12
"Dragon - Cute",1,34.54,36.86,-6,3.14,"Dragon","Cute",2024-07-12
"Ducky - With Little Bag",1,34.55,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-12
"Ducky - Star",1,38.86,41.47,-6.75,3.53,"Ducky","Star",2024-07-12
"Dor - Captain US",1,43.18,46.07,-7.5,3.93,"Dor","Captain US",2024-07-12
"Dragon - Cute",1,34.54,36.86,-6,3.14,"Dragon","Cute",2024-07-12
"SP - Rabbit Trainer",1,43.18,46.07,-7.5,3.93,"SP","Rabbit Trainer",2024-07-12
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-12
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-12
"Couple - Avo Duck",1,47.5,50.68,-8.25,4.32,"Couple","Avo Duck",2024-07-12
"Couple - Avo Duck",1,47.5,50.68,-8.25,4.32,"Couple","Avo Duck",2024-07-12
"Kuro - Bowtied",2,77.72,82.94,-13.5,7.06,"Kuro","Bowtied",2024-07-12
"Pokemon - Blas Turtle",1,43.18,46.07,-7.5,3.93,"Pokemon","Blas Turtle",2024-07-12
"Piggy - Birthday",1,34.54,36.86,-6,3.14,"Piggy","Birthday",2024-07-12
"Puppy",1,34.55,36.86,-6,3.14,"Puppy","Puppy",2024-07-12
"Astronaut",1,30.23,32.25,-5.25,2.75,"Astronaut","Astronaut",2024-07-12
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-12
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.84,0,4.16,"Pokemon","Pi on Saturn",2024-07-12
"Teddy with Tote",1,40.64,36.31,0,3.69,"Teddy with Tote","Teddy with Tote",2024-07-12
"Ducky - Star",1,45.72,40.84,0,4.16,"Ducky","Star",2024-07-12
"Pokemon - Pi on Saturn",1,45.72,40.85,0,4.15,"Pokemon","Pi on Saturn",2024-07-12
"Puppy",1,34.55,36.86,-6,3.14,"Puppy","Puppy",2024-07-12
"Astronaut",1,30.22,32.25,-5.25,2.75,"Astronaut","Astronaut",2024-07-12
"Apple Baby",1,30.23,32.25,-5.25,2.75,"Apple Baby","Apple Baby",2024-07-12
"Ducky - Star",1,38.86,41.47,-6.75,3.53,"Ducky","Star",2024-07-12
"Ducky - Star",1,38.86,41.47,-6.75,3.53,"Ducky","Star",2024-07-12
"SP - Rabbit Trainer",1,42.5,46.14,-7.5,3.86,"SP","Rabbit Trainer",2024-07-12
"Dor - Bat",1,42.5,46.14,-7.5,3.86,"Dor","Bat",2024-07-12
"Cina - Queen",1,38.25,41.52,-6.75,3.48,"Cina","Queen",2024-07-12
"Bear Brick - OG",1,38.86,41.47,-6.75,3.53,"Bear Brick","OG",2024-07-12
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-12
"Headphone Dor",1,47.5,50.68,-8.25,4.32,"Headphone Dor","Headphone Dor",2024-07-12
"Ducky - With Little Bag",1,34.54,36.86,-6,3.14,"Ducky","With Little Bag",2024-07-12
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-12
"Bear Brick - OG",1,38.87,41.46,-6.75,3.54,"Bear Brick","OG",2024-07-12
"Mel - Bowtied",1,38.86,41.47,-6.75,3.53,"Mel","Bowtied",2024-07-12
"Piggy - Happy",1,34.54,36.86,-6,3.14,"Piggy","Happy",2024-07-12
"SP - Rabbit Trainer",1,43.18,46.07,-7.5,3.93,"SP","Rabbit Trainer",2024-07-12
"Puppy",1,34,36.91,-6,3.09,"Puppy","Puppy",2024-07-12
"Mel",1,34.54,36.86,-6,3.14,"Mel","Mel",2024-07-12
"Mel",1,34.54,36.86,-6,3.14,"Mel","Mel",2024-07-12
"Pokemon - Blas Turtle",1,43.18,46.07,-7.5,3.93,"Pokemon","Blas Turtle",2024-07-12
"Couple - Avo Duck",1,47.5,50.68,-8.25,4.32,"Couple","Avo Duck",2024-07-12
"Couple - Avo Duck",1,47.5,50.68,-8.25,4.32,"Couple","Avo Duck",2024-07-12
"Couple - Banana",1,47.5,50.68,-8.25,4.32,"Couple","Banana",2024-07-12
"Kuro - Bowtied",1,38.86,41.47,-6.75,3.53,"Kuro","Bowtied",2024-07-12
"SP - Raining Day",1,51.81,55.29,-9,4.71,"SP","Raining Day",2024-07-12
"Rabbit - Beanie 1",1,40.64,36.31,0,3.69,"Rabbit","Beanie 1",2024-07-12
"Astronaut",1,35.56,31.76,0,3.24,"Astronaut","Astronaut",2024-07-12
"Bowtie Cat - Sailor",1,55.88,49.92,0,5.08,"Bowtie Cat","Sailor",2024-07-12
"Piggy - Happy",2,81.28,72.61,0,7.39,"Piggy","Happy",2024-07-12
"Dragon - Cute",1,40.64,36.31,0,3.69,"Dragon","Cute",2024-07-12
"Capybara",1,50.8,45.38,0,4.62,"Capybara","Capybara",2024-07-12
"Couple - Avo Duck",1,55.88,49.92,0,5.08,"Couple","Avo Duck",2024-07-11
"Piggy - Queen",1,40.64,36.31,0,3.69,"Piggy","Queen",2024-07-11
"Astro Bear",1,50.8,45.38,0,4.62,"Astro Bear","Astro Bear",2024-07-11
"Teddy with Tote",2,81.28,72.61,0,7.39,"Teddy with Tote","Teddy with Tote",2024-07-11
"Rabbit - on Duck",1,45,40.91,0,4.09,"Rabbit","on Duck",2024-07-11
"Rabbit - on Duck",1,45,40.91,0,4.09,"Rabbit","on Duck",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Marvel",1,43.18,46.07,-7.5,3.93,"Marvel","Marvel",2024-07-11
"Teddy with Tote",1,34.55,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-11
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-11
"Marvel",1,43.18,46.07,-7.5,3.93,"Marvel","Marvel",2024-07-11
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34,36.91,-6,3.09,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Teddy with Tote",1,34.54,36.86,-6,3.14,"Teddy with Tote","Teddy with Tote",2024-07-11
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-11
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-11
"Rabbit - on Duck",1,38.86,41.47,-6.75,3.53,"Rabbit","on Duck",2024-07-11
"Couple - Avo Duck",1,47.5,50.68,-8.25,4.32,"Couple","Avo Duck",2024-07-11
